Frame,So_Xe,FPS
618,7,15.95
619,7,16.09
620,6,16.18
621,6,16.54
622,6,16.7
623,6,16.15
624,6,16.34
625,5,15.98
626,5,15.57
627,5,15.72
628,3,15.62
629,3,15.73
630,3,15.82
631,3,15.92
632,3,15.8
633,3,16.03
634,3,16.15
635,3,16.68
636,3,16.85
637,3,16.77
638,3,17.05
639,3,17.19
640,3,17.46
641,3,17.66
642,3,17.49
643,3,17.02
644,4,17.22
645,4,16.84
646,4,16.73
647,4,17.18
648,4,17.53
649,4,17.75
650,4,17.72
651,4,18.03
652,4,17.91
653,4,17.77
654,4,17.52
655,4,17.55
656,4,17.51
657,4,17.33
658,4,17.18
659,4,17.25
660,4,16.99
661,4,16.98
662,4,17.36
663,4,17.62
664,4,17.23
665,4,16.62
666,4,16.58
667,4,16.94
668,4,16.51
669,4,16.55
670,4,16.49
671,4,16.76
672,4,16.61
673,4,16.68
674,4,16.81
675,3,16.86
676,3,16.62
677,3,16.49
678,3,16.45
679,3,16.84
680,3,16.98
681,3,16.88
682,3,16.61
683,3,16.73
684,3,17.15
685,3,17.36
686,3,17.46
687,3,17.25
688,3,17.19
689,3,17.28
690,3,17.13
691,3,16.77
692,3,16.63
693,3,16.53
694,3,16.28
695,3,16.31
696,3,16.7
697,3,16.38
698,3,16.66
699,3,16.95
700,3,16.98
701,3,16.68
702,3,16.93
703,3,16.95
704,3,16.76
705,3,17.16
706,3,17.33
707,3,17.58
708,3,17.67
709,3,17.43
710,3,17.38
711,3,17.34
712,3,16.89
713,3,16.37
714,3,16.27
715,3,16.57
716,3,16.34
717,3,16.69
718,3,16.7
719,3,16.86
720,3,16.24
721,3,15.68
722,3,15.22
723,3,15.54
724,3,15.79
725,3,16.44
726,3,16.81
727,3,16.76
728,3,16.85
729,3,17.12
730,3,17.21
731,3,17.03
732,3,16.98
733,3,16.91
734,3,16.73
735,3,16.63
736,3,16.94
737,3,16.89
738,3,16.85
739,3,17.16
740,3,16.9
741,3,16.75
742,3,17.06
743,3,16.83
744,3,16.69
745,3,16.61
746,3,16.51
747,3,16.91
748,3,17.16
749,3,17.2
750,3,17.11
751,3,17.07
752,3,16.5
753,3,16.6
754,3,16.67
755,3,16.89
756,3,16.75
757,3,17.01
758,3,17.13
759,3,17.29
760,3,17.7
761,3,17.41
762,3,17.09
763,3,17.19
764,3,17.15
765,3,16.96
766,3,16.99
767,3,16.78
768,3,16.71
769,3,16.99
770,3,17.2
771,3,17.61
772,3,17.96
773,3,18.1
774,3,17.96
775,3,17.64
776,3,17.95
777,3,17.56
778,3,17.65
779,3,17.66
780,3,17.77
781,3,17.51
782,3,17.22
783,3,17.59
784,3,17.83
785,3,18.09
786,3,17.89
787,3,17.72
788,3,17.38
789,3,17.29
790,3,17.56
791,3,17.42
792,3,17.31
793,3,16.97
794,3,16.79
795,3,16.99
796,3,16.79
797,3,16.91
798,3,16.78
799,3,17.26
800,3,17.45
801,3,17.43
802,3,17.5
803,3,17.33
804,3,17.46
805,3,17.57
806,3,17.77
807,3,17.43
808,3,17.31
809,3,17.67
810,3,17.9
811,3,17.87
812,3,17.8
813,3,17.36
814,3,17.56
815,3,17.81
816,3,17.74
817,3,17.19
818,3,17.22
819,3,17.24
820,3,17.59
821,4,17.79
822,4,18.08
823,4,18.18
824,4,18.3
825,4,18.31
826,4,18.18
827,4,18.31
828,4,18.14
829,4,18.38
830,4,18.13
831,4,18.36
832,4,18.07
833,4,17.71
834,4,17.9
835,4,17.98
836,4,17.86
837,4,17.75
838,4,17.48
839,4,17.47
840,4,17.22
841,4,17.08
842,4,17.28
843,4,17.5
844,4,17.04
845,4,16.36
846,4,16.57
847,4,16.71
848,4,16.84
849,4,16.84
850,3,17.0
851,3,17.04
852,3,16.95
853,3,16.97
854,3,17.14
855,3,17.03
856,3,17.4
857,3,17.39
858,3,16.95
859,3,16.86
860,3,17.12
861,3,17.58
862,3,17.84
863,3,17.89
864,3,18.15
865,3,18.15
866,3,18.45
867,3,17.92
868,3,17.44
869,3,17.59
870,3,17.75
871,3,17.75
872,3,17.73
873,3,18.0
874,3,17.94
875,3,18.04
876,3,18.08
877,3,17.92
878,4,17.55
879,4,17.19
880,4,17.15
881,4,17.12
882,4,17.05
883,4,17.09
884,4,16.94
885,4,16.85
886,4,17.2
887,4,16.96
888,4,17.09
889,4,17.51
890,6,17.8
891,6,18.17
892,6,18.39
893,6,18.51
894,6,18.52
895,6,18.36
896,6,17.9
897,6,17.87
898,6,16.74
899,8,16.44
900,8,16.2
901,8,15.97
902,8,15.92
903,8,15.88
904,8,15.73
905,8,15.41
906,8,15.54
907,8,15.67
908,8,15.69
909,8,15.86
910,7,16.03
911,7,16.11
912,7,16.09
913,7,16.3
914,7,16.49
915,7,16.55
916,7,16.71
917,7,16.69
918,7,16.78
919,6,16.82
920,6,16.68
921,6,16.48
922,6,16.54
923,6,16.57
924,5,16.54
925,5,16.55
926,5,16.35
927,3,16.48
928,3,16.46
929,3,15.97
930,3,16.19
931,3,16.31
932,3,16.71
933,3,16.86
934,3,17.07
935,3,17.18
936,3,17.29
937,3,17.35
938,3,17.38
939,3,17.46
940,3,17.36
941,3,17.51
942,3,17.51
943,4,17.49
944,4,17.29
945,4,16.86
946,4,16.81
947,4,16.47
948,4,16.08
949,4,15.41
950,4,15.04
951,4,15.33
952,4,15.79
953,4,16.13
954,4,15.33
955,4,14.75
956,4,13.69
957,4,13.33
958,4,12.63
959,4,12.42
960,4,12.38
961,4,12.29
962,4,12.46
963,4,11.75
964,4,11.75
965,4,12.05
966,4,11.9
967,4,11.99
968,4,11.99
969,4,11.96
970,4,11.85
971,4,12.04
972,4,11.47
973,4,11.3
974,3,11.53
975,3,11.63
976,3,11.78
977,3,11.81
978,3,11.79
979,3,12.02
980,3,12.04
981,3,11.98
982,3,11.87
983,3,12.04
984,3,11.97
985,3,11.99
986,3,11.85
987,3,11.85
988,3,12.01
989,3,11.94
990,3,12.1
991,3,11.86
992,3,11.87
993,3,11.79
994,3,11.62
995,3,11.76
996,3,11.69
997,3,11.71
998,3,11.7
999,3,11.88
1000,3,11.91
1001,3,12.15
1002,3,12.32
1003,3,12.29
1004,3,12.31
1005,3,12.28
1006,3,12.39
1007,3,12.39
1008,3,12.51
1009,3,12.51
1010,3,12.52
1011,3,12.42
1012,3,12.18
1013,3,12.29
1014,3,12.21
1015,3,12.13
1016,3,12.23
1017,3,12.18
1018,3,12.11
1019,3,12.03
1020,3,12.1
1021,3,12.16
1022,3,12.3
1023,3,12.26
1024,3,12.45
1025,3,12.4
1026,3,12.41
1027,3,12.48
1028,3,12.5
1029,3,11.59
1030,3,10.96
1031,3,11.11
1032,3,11.18
1033,3,11.23
1034,3,10.6
1035,3,10.36
1036,3,10.81
1037,3,11.04
1038,3,11.32
1039,3,11.39
1040,3,11.69
1041,3,11.5
