Frame,So_Xe,FPS
522,23,22.84
523,20,22.86
524,20,23.14
525,20,22.87
526,21,22.95
527,21,23.03
528,22,22.8
529,18,23.07
530,19,23.4
531,19,23.1
532,20,23.14
533,20,23.29
534,20,23.19
535,19,23.55
536,19,23.48
537,19,23.21
538,21,23.13
539,22,22.97
540,23,23.04
541,22,22.62
542,22,22.36
543,23,22.13
544,23,22.13
545,23,22.02
546,23,21.23
547,24,19.94
548,24,20.06
549,24,19.91
550,24,20.6
551,23,21.11
552,23,21.6
553,23,20.77
554,23,20.63
555,23,21.18
556,23,21.29
557,23,21.22
558,23,21.47
559,22,21.35
560,22,21.44
561,23,21.55
562,24,22.07
563,24,22.17
564,25,22.24
565,25,22.36
566,24,22.57
567,24,22.57
568,24,22.75
569,24,22.7
570,23,22.6
571,22,22.61
572,20,22.44
573,21,22.64
574,21,22.73
575,21,22.86
576,21,22.75
577,23,22.99
578,23,23.0
579,23,22.59
580,24,22.83
581,24,21.73
582,25,21.52
583,25,21.4
584,26,20.91
585,27,21.4
586,27,21.63
587,27,21.4
588,28,20.53
589,28,19.5
590,28,18.61
591,28,17.17
592,27,16.04
593,28,14.89
594,30,14.05
595,30,12.86
596,30,12.8
597,30,13.23
598,32,14.87
599,31,15.89
600,32,16.99
601,32,18.18
602,32,19.37
603,32,19.52
604,34,19.89
605,34,20.32
606,34,20.64
607,34,21.21
608,33,21.46
609,33,21.54
610,36,22.05
611,36,21.96
612,37,22.12
613,36,22.39
614,37,22.27
615,39,22.12
616,38,20.46
617,45,20.98
618,45,21.32
619,45,21.61
620,44,22.39
621,44,23.06
622,42,23.42
